team_id,team_name,player_id,player_name,position_group,fetched_at_hkt,source
10249,Montpellier,348411,Mathieu Michel,keepers,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1079544,Simon Ngapandouetnbu,keepers,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1797603,Viktor Džodić,keepers,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,2119601,Kevin Kamdem,keepers,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,882978,Nelson Sissoko,defenders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1098243,Yanis Zouaoui,defenders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1697720,Naoufel El Hannach,defenders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1643774,Yaël Mouanga,defenders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,604349,Julien Laporte,defenders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,880618,Théo Sainte-Luce,defenders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1727021,Wilfried Ndollo Bille,defenders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1074657,Daylam Meddah,defenders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,2172377,Tidiane Diallo,defenders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,2130485,Mathis Chambon,defenders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,319305,Florian Tardieu,midfielders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,2189224,Oscar Eyen,midfielders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1900953,Nabil Homssa,midfielders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1366624,Axel Guéguin,midfielders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,2130482,Hichem Abderrebi,midfielders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1682404,Jérémy Hatchi,midfielders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1927654,Noah Vidal-Cartoux,midfielders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1670190,Théo Chennahi,midfielders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1529945,Everson Junior,midfielders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,2119599,Gregory Ayem,midfielders,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,2130483,Lacine Megnan-Pave,attackers,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1178331,Yassine Benhattab,attackers,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1167473,Mamadou Camara,attackers,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1610103,Nicolas Pays,attackers,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,1804654,Nordan Mukiele,attackers,2026-09-18T23:58:55+08:00,FotMob teams
10249,Montpellier,2095083,Daryll Benlahlou,attackers,2026-09-18T23:58:55+08:00,FotMob teams
10268,Elche,592412,Matías Dituro,keepers,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1311126,Alejandro Iturbe,keepers,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1206583,Kevin Lomónaco,defenders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1583872,Buba Sangaré,defenders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1337914,Roy Revivo,defenders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,884383,Bambo Diaby,defenders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1277343,Federico Redondo,defenders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,291635,Pedro Bigas,defenders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1330035,Rubén Sánchez,defenders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1192393,Víctor Chust,defenders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1670276,Matia Barzić,defenders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1692188,Albert Niculăesei,defenders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1882218,Nico Salvador,defenders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1392232,Marc Aguado,midfielders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1336566,Facundo Buonanotte,midfielders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1102708,Germán Valera,midfielders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,881773,Gonzalo Villar,midfielders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1226189,Martim Neto,midfielders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,468931,Thomas Lemar,midfielders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,654091,Grady Diangana,midfielders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1670281,Ali Houary,midfielders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1896315,Álex Sánchez,midfielders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1899812,Alex Herráiz,midfielders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1732412,Javi Morcillo,midfielders,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1137497,Yago Santiago,attackers,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,493216,Ezequiel Ponce,attackers,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1127224,Fer Niño,attackers,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,623982,Josan,attackers,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,801213,Tete Morente,attackers,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1280756,Lucas Cepeda,attackers,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1343195,Abiel Osorio,attackers,2026-09-19T00:02:03+08:00,FotMob teams
10268,Elche,1577912,Adam Boayar,attackers,2026-09-19T00:02:03+08:00,FotMob teams
293352,Annecy FC,562994,Florian Escales,keepers,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,953926,Thomas Callens,keepers,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,1791801,Matéo Gonzalez,keepers,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,1729331,Adam Yahi,defenders,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,1578175,David Oduro,defenders,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,2119438,Emmanuel Louisir,defenders,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,2119445,Sacha Lima,defenders,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,640291,François Lajugie,defenders,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,1201593,Mattéo Veillon,defenders,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,1784619,Jonathan Do Marcolino,defenders,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,1523344,Julien Kouadio,defenders,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,2187457,Gabin Secretant,defenders,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,1700428,Esteban Riou,defenders,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,1524075,Thibault Delphis,defenders,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,120917,Ahmed Kashi,midfielders,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,1705429,Mohamed Koné,midfielders,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,1675988,Pascal Mozie,midfielders,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,1703178,Kilyan Jusseron-Veniere,midfielders,2026-09-18T23:56:46+08:00,FotMob teams
293352,Annecy FC,2119442,Esteban Marre,midfielders,2026-09-18T23:56:46+08:00,FotMob teams
